clean_name,target_account_name
txnparking,Retainer Income
cardmaintenance,Senior Citizen Savings Schemes
txnzomato,Freelance Equipment
carduber,Payment Gateway Fees
electronics,Travel & Holidays
billtrain,Investments
onlinetrain,Irrigation & Electricity
onlinegasbill,Business Loans
billdonation,Direct Labor
onlinewifi,Business Equipment
collegefees,Groceries
onlinemaintenance,Cashbacks & Refunds
amazon,Retirement Funds
cardeducation,Legal & Professional Services
collegefees,Farm Machinery
schoolfees,Employee Provident Fund
billrent,Professional Equipment
onlinesubscription,Work Equipment & Home Office
billmaintenance,Vehicles
zomato,Work Equipment & Home Office
mcdonalds,Salary
onlinecharity,Harvested Inventory
paymentgym,Employee Provident Fund
hotel,Subscriptions
billsalary,Senior Insurance Premiums
cardconsulting,Royalties & Licensing
onlinetrain,Family Support
rent,Freelance Project Income
collegefees,Credit Cards
recharge,Rent / Housing Maintenance
gasbill,Clothing & Personal Care
amazon,Caregiver Services
paymentcollegefees,Shipping / Delivery Income
pizza,Clothing & Personal Care
billrepair,Software & Digital Tools
tax,Gifts & Donations
schoolfees,Commission Income
billspotify,Interest Income
paymentburger,Crop Loans
salary,Books & Study Materials
paymentdiesel,Accounts Receivable
paymentvegetables,Healthcare & Medical
billola,Family Support
cardvegetables,Trade Receivables
billgym,Bank Accounts
cardparking,Retained Earnings
txnrepair,Livestock
onlineamazon,Retirement Funds
billdominos,Project Revenue
netflix,Farm Machinery
cardrepair,Crop Sales
paymentdominos,Bank Accounts
cardbonus,Platform Commission Income
cardswiggy,Digital Wallets
txndiesel,Insurance Premiums
onlinewifi,Reimbursements
txnswiggy,Utility Bills Payable
flipkart,Fuel
billola,Allowances / Pocket Money
subscription,Pilgrimage Travel
txnpharmacy,Farm Labor
onlinepizza,Professional Memberships
billtax,Supplier Discounts
electricity,Professional Equipment
maintenance,Retirement Funds
onlinevegetables,Utility Bills Payable
paymentmobile,Internet & Phone
cardyoutube,Payment Gateway Fees
parking,Restaurants & Food Delivery
vegetables,Office Rent
cardgym,Exam & Application Fees
txnyoutube,Loans Payable
billpizza,Professional Equipment
zomato,Accounts Receivable
txnyoutube,GST Input Credit
txnrent,Subscriptions
onlinevegetables,Learning & Professional Development
txninvestment,Opening Balance Equity
billhotel,Equipment Loans
txnpetrol,Professional Development
petrol,Crop Loans
cardcharity,Digital Wallets
onlineamazon,Crop Sales
billdonation,Retained Earnings
txnfuel,Student Activities & Clubs
hotel,Supplier Discounts
onlinedominos,GST Input Credit
billbonus,Dairy Income
onlinerecharge,Statutory Dues Payable
flipkart,Service Revenue
cardtoll,Cashbacks & Refunds
hospital,Platform Commission Income
txnrent,Gifts & Donations
onlinegasbill,Employee Provident Fund
paymentcharity,Senior Insurance Premiums
cardfreelance,Bonuses & Incentives
electricity,Subscriptions
paymentgst,Allowances / Pocket Money
carddiesel,Internet & Phone
paymentconsulting,Tuition & Academic Fees
paymentrent,Healthcare & Medical
paymentrecharge,Co-working Space
maintenance,Reimbursements
txnsubscription,Retirement Funds
billyoutube,Learning & Professional Development
tax,Supplier Discounts
donation,Machinery Fuel & Maintenance
medical,Subcontractor Payments
billmcdonalds,Subscriptions
salary,Digital Wallets
toll,Retainer Income
billinsurance,Estate Planning & Legal Fees
txninternet,Equipment Rental Income
cardfreelance,Platform Commission Income
cardmutualfund,Senior Insurance Premiums
tax,Fuel
electricity,Rent / Housing Maintenance
onlineola,Groceries
cardwaterbill,Cashbacks & Refunds
billwaterbill,Inventory / Stock
txngst,Purchases
onlinehotel,Crop Loans
diesel,Professional Memberships
onlineshopping,Interest Income
train,Internet & Phone
txncollegefees,Employee Salaries
cardtoll,Real Estate / Property
electricity,Direct Labor
cardburger,Inventory / Stock
paymentmaintenance,Bank Charges & Fees
billbonus,Dividend Income
billcharity,Healthcare & Medical
ola,Interest Income
paymentinsurance,Senior Citizen Savings Schemes
fuel,Books & Study Materials
txnshopping,Government Subsidies
netflix,Loans Payable
paymentmetro,Statutory Dues Payable
paymentmedical,Work Equipment & Home Office
txnfuel,Crop Loans
onlineburger,Dairy Income
paymentnetflix,Agricultural Land
diesel,Utility Bills Payable
txnnetflix,Royalties & Licensing
billmobile,Exam & Application Fees
cardgst,Livestock
onlineparking,Subscriptions
onlinedonation,Accounts Receivable
paymentdonation,Employee Salaries
onlinezomato,Pilgrimage Travel
paymentvegetables,Business Travel
cardrepair,Annuity Payouts
billshopping,Rent / Housing Maintenance
onlineshopping,Allowances / Pocket Money
txnservicecharge,Government Subsidies
